path,reason,possible_categories,evidence
sw_plc/00_base3.dds,Full-name reference check confirmed texture consumers in multiple categories; retain original shared-resource location.,sw_plc; sw_skybox; sw_t_starship,sw_plc/plc_evier_001.mdl; sw_skybox/narsky_001.mdl; sw_t_starship/fci01_k01_02.mdl; sw_t_starship/fci01_k01_03.mdl; sw_t_starship/fci01_k01_08.mdl; sw_t_starship/fci01_k01_09.mdl; sw_t_starship/fci01_k01_12.mdl
sw_plc/00acp2-0.dds,Full-name reference check confirmed texture consumers in multiple categories; retain original shared-resource location.,sw_plc; sw_t_starship,sw_plc/plc_toilet_001.mdl; sw_t_starship/fci01_k01_05.mdl; sw_t_starship/fci01_m02_01.mdl; sw_t_starship/fci01_q01_01.mdl
sw_plc/00cract1.dds,Full-name reference check confirmed texture consumers in multiple categories; retain original shared-resource location.,sw_plc; sw_skybox; sw_t_starship,sw_plc/plc_fci_cntr_003.mdl; sw_skybox/narsky_001.mdl; sw_t_starship/fci01_k01_05.mdl; sw_t_starship/fci01_m02_01.mdl; sw_t_starship/fci01_o06_01.mdl; sw_t_starship/fci_door_02.mdl
sw_plc/00wbig2.dds,Full-name reference check confirmed texture consumers in multiple categories; retain original shared-resource location.,sw_plc; sw_t_starship,sw_plc/plc_fridge_001.mdl; sw_t_starship/fci01_k01_01.mdl; sw_t_starship/fci01_k01_08.mdl
sw_plc/00whull1.dds,Full-name reference check confirmed texture consumers in multiple categories; retain original shared-resource location.,sw_skybox; sw_t_starship,sw_skybox/narsky_001.mdl; sw_t_starship/fci01_b01_01.mdl; sw_t_starship/fci01_k01_14.mdl
sw_plc/00whull1_2.dds,Full-name reference check confirmed texture consumers in multiple categories; retain original shared-resource location.,sw_plc; sw_t_starship,sw_plc/plc_fci_cntr_003.mdl; sw_t_starship/fci01_k01_01.mdl; sw_t_starship/fci01_k01_02.mdl; sw_t_starship/fci01_k01_03.mdl; sw_t_starship/fci01_k01_04.mdl; sw_t_starship/fci01_k01_05.mdl; sw_t_starship/fci01_k01_06.mdl; sw_t_starship/fci01_k01_07.mdl; sw_t_starship/fci01_k01_08.mdl; sw_t_starship/fci01_k01_09.mdl; sw_t_starship/fci01_k01_10.mdl; sw_t_starship/fci01_k01_11.mdl; sw_t_starship/fci01_k01_12.mdl
sw_plc/00wpanl6.dds,Full-name reference check confirmed texture consumers in multiple categories; retain original shared-resource location.,sw_plc; sw_skybox; sw_t_starship,sw_plc/plc_fci_cntr_002.mdl; sw_skybox/narsky_001.mdl; sw_t_starship/fci01_o03_01.mdl; sw_t_starship/fci01_o04_01.mdl; sw_t_starship/fci01_o05_01.mdl
sw_plc/01cbar01.dds,Full-name reference check confirmed texture consumers in multiple categories; retain original shared-resource location.,sw_plc; sw_skybox; sw_t_starship,sw_plc/plc_fci_cntr_001.mdl; sw_skybox/narsky_001.mdl; sw_t_starship/fci01_k01_09.mdl
sw_plc/01ccrgo1.dds,Full-name reference check confirmed texture consumers in multiple categories; retain original shared-resource location.,sw_plc; sw_t_starship,sw_plc/plc_fci_cntr_005.mdl; sw_t_starship/fci01_s01_04.mdl; sw_t_starship/fci01_s01_05.mdl
sw_plc/01clgt1a.dds,Full-name reference check confirmed texture consumers in multiple categories; retain original shared-resource location.,sw_plc; sw_skybox; sw_t_starship,sw_plc/plc_evier_001.mdl; sw_plc/plc_fcictr_001.mdl; sw_plc/plc_fcictr_002.mdl; sw_skybox/narsky_001.mdl; sw_t_starship/fci01_k01_08.mdl; sw_t_starship/fci01_k01_09.mdl
sw_plc/01cribbd_2.dds,Full-name reference check confirmed texture consumers in multiple categories; retain original shared-resource location.,sw_skybox; sw_t_starship,sw_skybox/narsky_001.mdl; sw_t_starship/fci01_b01_01.mdl; sw_t_starship/fci01_k01_14.mdl
sw_plc/01fdeck1.dds,Full-name reference check confirmed texture consumers in multiple categories; retain original shared-resource location.,sw_plc; sw_t_starship,sw_plc/plc_evier_001.mdl; sw_plc/plc_fcictr_001.mdl; sw_plc/plc_fcictr_002.mdl; sw_t_starship/fci01_k01_08.mdl; sw_t_starship/fci01_k01_09.mdl; sw_t_starship/fci01_s01_01.mdl; sw_t_starship/fci01_s01_02.mdl; sw_t_starship/fci01_s01_03.mdl; sw_t_starship/fci01_s01_04.mdl; sw_t_starship/fci01_s01_05.mdl; sw_t_starship/fci01_s01_06.mdl; sw_t_starship/fci01_s01_10.mdl; sw_t_starship/fci01_s01_11.mdl; sw_t_starship/fci01_s01_15.mdl; sw_t_starship/fci01_s01_16.mdl; sw_t_starship/fci01_s01_20.mdl; sw_t_starship/fci01_s01_21.mdl; sw_t_starship/fci01_s01_22.mdl; sw_t_starship/fci01_s01_23.mdl; sw_t_starship/fci01_s01_24.mdl; sw_t_starship/fci01_s01_25.mdl
sw_plc/01wblk3c.dds,Full-name reference check confirmed texture consumers in multiple categories; retain original shared-resource location.,sw_plc; sw_skybox; sw_t_starship,sw_plc/plc_fci_cntr_004.mdl; sw_plc/plc_fci_wall_002.mdl; sw_skybox/narsky_001.mdl; sw_t_starship/fci01_k01_01.mdl; sw_t_starship/fci01_k01_02.mdl; sw_t_starship/fci01_k01_03.mdl; sw_t_starship/fci01_k01_04.mdl; sw_t_starship/fci01_k01_05.mdl; sw_t_starship/fci01_k01_06.mdl; sw_t_starship/fci01_k01_07.mdl; sw_t_starship/fci01_k01_08.mdl; sw_t_starship/fci01_k01_09.mdl; sw_t_starship/fci01_k01_10.mdl; sw_t_starship/fci01_k01_11.mdl; sw_t_starship/fci01_k01_12.mdl
sw_plc/01whull2_2.dds,Full-name reference check confirmed texture consumers in multiple categories; retain original shared-resource location.,sw_skybox; sw_t_starship,sw_skybox/narsky_001.mdl; sw_t_starship/fci01_b01_01.mdl; sw_t_starship/fci01_k01_14.mdl
sw_plc/01wlite2.dds,Full-name reference check confirmed texture consumers in multiple categories; retain original shared-resource location.,sw_skybox; sw_t_starship,sw_skybox/narsky_001.mdl; sw_t_starship/fci01_b01_01.mdl; sw_t_starship/fci01_k01_01.mdl; sw_t_starship/fci01_k01_02.mdl; sw_t_starship/fci01_k01_03.mdl; sw_t_starship/fci01_k01_04.mdl; sw_t_starship/fci01_k01_05.mdl; sw_t_starship/fci01_k01_08.mdl; sw_t_starship/fci01_k01_09.mdl; sw_t_starship/fci01_k01_10.mdl; sw_t_starship/fci01_k01_11.mdl; sw_t_starship/fci01_k01_12.mdl; sw_t_starship/fci01_k01_14.mdl
sw_plc/1.dds,Full-name reference check confirmed texture consumers in multiple categories; retain original shared-resource location.,sw_cr_creature; sw_plc; sw_plc_mdrn; sw_pt_head; sw_pt_lfore; sw_pt_lshin; sw_pt_rfore; sw_pt_rshin,sw_cr_creature/c_bgbra_psm.mdl; sw_cr_creature/c_ogre35.mdl; sw_plc/clam_001.mdl; sw_plc_mdrn/p_sentrygun2.mdl; sw_plc_mdrn/p_sentrygun3.mdl; sw_pt_head/pfo0_head002.mdl; sw_pt_head/pfo0_head009.mdl; sw_pt_head/pfo0_head013.mdl; sw_pt_head/pfo0_head014.mdl; sw_pt_head/pmh0_head159.mdl; sw_pt_head/pmo0_head002.mdl; sw_pt_head/pmo0_head026.mdl; sw_pt_head/pmo0_head027.mdl; sw_pt_head/pmo0_head028.mdl; sw_pt_head/pmo0_head029.mdl; sw_pt_lfore/pfd0_forel184.mdl; sw_pt_lfore/pfe0_forel184.mdl; sw_pt_lfore/pfh0_forel112.mdl; sw_pt_lfore/pfh0_forel184.mdl; sw_pt_lfore/pfo0_forel184.mdl; sw_pt_lfore/pmd0_forel112.mdl; sw_pt_lfore/pme0_forel112.mdl; sw_pt_lfore/pmh0_forel112.mdl; sw_pt_lfore/pmo0_forel112.mdl; sw_pt_lshin/pfd0_shinl108.mdl; sw_pt_lshin/pfd0_shinl165.mdl; sw_pt_lshin/pfd0_shinl182.mdl; sw_pt_lshin/pfe0_shinl108.mdl; sw_pt_lshin/pfe0_shinl182.mdl; sw_pt_lshin/pfh0_shinl108.mdl; sw_pt_lshin/pfh0_shinl165.mdl; sw_pt_lshin/pfh0_shinl182.mdl; sw_pt_lshin/pfo0_shinl108.mdl; sw_pt_lshin/pfo0_shinl182.mdl; sw_pt_lshin/pmd0_shinl108.mdl; sw_pt_lshin/pmd0_shinl165.mdl; sw_pt_lshin/pme0_shinl108.mdl; sw_pt_lshin/pme0_shinl165.mdl; sw_pt_lshin/pmh0_shinl108.mdl; sw_pt_lshin/pmh0_shinl165.mdl; sw_pt_lshin/pmo0_shinl108.mdl; sw_pt_lshin/pmo0_shinl165.mdl; sw_pt_rfore/pfd0_forer184.mdl; sw_pt_rfore/pfe0_forer184.mdl; sw_pt_rfore/pfh0_forer112.mdl; sw_pt_rfore/pfh0_forer184.mdl; sw_pt_rfore/pfo0_forer184.mdl; sw_pt_rfore/pmd0_forer112.mdl; sw_pt_rfore/pme0_forer112.mdl; sw_pt_rfore/pmh0_forer112.mdl; sw_pt_rfore/pmo0_forer112.mdl; sw_pt_rshin/pfd0_shinr108.mdl; sw_pt_rshin/pfd0_shinr165.mdl; sw_pt_rshin/pfd0_shinr182.mdl; sw_pt_rshin/pfe0_shinr108.mdl; sw_pt_rshin/pfe0_shinr182.mdl; sw_pt_rshin/pfh0_shinr108.mdl; sw_pt_rshin/pfh0_shinr165.mdl; sw_pt_rshin/pfh0_shinr182.mdl; sw_pt_rshin/pfo0_shinr108.mdl; sw_pt_rshin/pfo0_shinr182.mdl; sw_pt_rshin/pmd0_shinr108.mdl; sw_pt_rshin/pmd0_shinr165.mdl; sw_pt_rshin/pme0_shinr108.mdl; sw_pt_rshin/pme0_shinr165.mdl; sw_pt_rshin/pmh0_shinr108.mdl; sw_pt_rshin/pmh0_shinr165.mdl; sw_pt_rshin/pmo0_shinr108.mdl; sw_pt_rshin/pmo0_shinr165.mdl
sw_plc/Sentinel_droid.mtr,Pre-existing empty material file; preserve without guessing content or ownership,,
sw_plc/ac_back.dds,Potential consumers span multiple categories; preserve current shared-resource location,sw_plc_mdrn; sw_t_modernex,sw_plc_mdrn/vos_aircond_s.mdl; sw_t_modernex/dgt04_e09_04.mdl; sw_t_modernex/dgt04_e09_04.mdl; sw_t_modernex/dgt04_e09_05.mdl; sw_t_modernex/dgt04_e09_06.mdl; sw_t_modernex/dgt04_e09_07.mdl; sw_t_modernex/dgt04_e09_08.mdl; sw_t_modernex/dgt04_e09_11.mdl
sw_plc/airduct.dds,Potential consumers span multiple categories; preserve current shared-resource location,sw_cr_creature; sw_plc_mdrn,sw_cr_creature/c_frogman.mdl; sw_plc_mdrn/air_duct.mdl
sw_plc/arm.dds,Potential consumers span multiple categories; preserve current shared-resource location,sw_cr_creature; sw_cr_vehicle; sw_door; sw_plc_cep; sw_plc_mdrn; sw_pt_chest; sw_pt_lfore; sw_pt_rfore; sw_t_cepdesert; sw_t_office; sw_t_season,sw_cr_creature/c_hutt.mdl; sw_cr_creature/c_hutt.mdl; sw_cr_creature/c_hutt.mdl; sw_cr_creature/c_hutt.mdl; sw_cr_vehicle/c_trandotr.mdl; sw_cr_vehicle/c_trandotr.mdl; sw_cr_vehicle/c_trandotr.mdl; sw_door/ctp_curtain_01.mdl
sw_plc/arm.tga,Potential consumers span multiple categories; preserve current shared-resource location,sw_cr_creature; sw_cr_vehicle; sw_door; sw_plc_cep; sw_plc_mdrn; sw_pt_chest; sw_pt_lfore; sw_pt_rfore; sw_t_cepdesert; sw_t_office; sw_t_season,sw_cr_creature/c_hutt.mdl; sw_cr_creature/c_hutt.mdl; sw_cr_creature/c_hutt.mdl; sw_cr_creature/c_hutt.mdl; sw_cr_vehicle/c_trandotr.mdl; sw_cr_vehicle/c_trandotr.mdl; sw_cr_vehicle/c_trandotr.mdl; sw_door/ctp_curtain_01.mdl
sw_plc/armor.dds,Potential consumers span multiple categories; preserve current shared-resource location,sw_cr_creature; sw_pt_chest; sw_pt_lfoot; sw_pt_lfore; sw_pt_lshin; sw_pt_lshoul; sw_pt_lthigh; sw_pt_rfoot; sw_pt_rfore; sw_pt_rshin; sw_pt_rshoul; sw_pt_rthigh,sw_cr_creature/c_ynpc_h_m14.mdl; sw_cr_creature/c_ynpc_h_m14.mdl; sw_cr_creature/c_ynpc_h_m14.mdl; sw_cr_creature/c_ynpc_h_m14.mdl; sw_pt_chest/pfd0_chest069.mdl; sw_pt_chest/pfd0_chest222.mdl; sw_pt_chest/pfe0_chest069.mdl; sw_pt_chest/pfe0_chest222.mdl
sw_plc/armor.tga,Potential consumers span multiple categories; preserve current shared-resource location,sw_cr_creature; sw_pt_chest; sw_pt_lfoot; sw_pt_lfore; sw_pt_lshin; sw_pt_lshoul; sw_pt_lthigh; sw_pt_rfoot; sw_pt_rfore; sw_pt_rshin; sw_pt_rshoul; sw_pt_rthigh,sw_cr_creature/c_ynpc_h_m14.mdl; sw_cr_creature/c_ynpc_h_m14.mdl; sw_cr_creature/c_ynpc_h_m14.mdl; sw_cr_creature/c_ynpc_h_m14.mdl; sw_pt_chest/pfd0_chest069.mdl; sw_pt_chest/pfd0_chest222.mdl; sw_pt_chest/pfe0_chest069.mdl; sw_pt_chest/pfe0_chest222.mdl
sw_plc/asejecter.dds,Potential consumers span multiple categories; preserve current shared-resource location,sw_plc_mdrn; sw_weapon,sw_plc_mdrn/vos_boltgun.mdl; sw_weapon/wbwsh_m_015.mdl; sw_weapon/wbwxh_m_051.mdl; sw_weapon/wbwxh_m_083.mdl; sw_weapon/wbwxl_m_025.mdl; sw_weapon/wbwxl_m_026.mdl
sw_plc/aw-text2.dds,Potential consumers span multiple categories; preserve current shared-resource location,sw_cr_vehicle; sw_plc_mdrn,sw_cr_vehicle/awing.mdl; sw_cr_vehicle/awing.mdl; sw_cr_vehicle/awingsm.mdl; sw_cr_vehicle/awingsm.mdl; sw_plc_mdrn/plc_awing.mdl; sw_plc_mdrn/plc_awing.mdl
sw_plc/awning.dds,Potential consumers span multiple categories; preserve current shared-resource location,sw_plc_cep; sw_plc_mdrn,sw_plc_cep/vos_awn3bl.mdl; sw_plc_cep/wos_awning_bk_l.mdl; sw_plc_cep/wos_awning_bk_m.mdl; sw_plc_cep/wos_awning_bk_t.mdl; sw_plc_cep/wos_awning_bl_l.mdl; sw_plc_cep/wos_awning_bl_m.mdl; sw_plc_cep/wos_awning_bl_t.mdl; sw_plc_cep/wos_awning_gr_l.mdl
sw_plc/awt1.dds,Potential consumers span multiple categories; preserve current shared-resource location,sw_cr_vehicle; sw_plc_mdrn,sw_cr_vehicle/awing.mdl; sw_cr_vehicle/awing.mdl; sw_cr_vehicle/awing.mdl; sw_cr_vehicle/awingsm.mdl; sw_cr_vehicle/awingsm.mdl; sw_cr_vehicle/awingsm.mdl; sw_plc_mdrn/plc_awing.mdl; sw_plc_mdrn/plc_awing.mdl
sw_plc/az-msc-drtdr.dds,Potential consumers span multiple categories; preserve current shared-resource location,sw_t_office; sw_t_suburb,sw_t_office/udp2_a18_01.mdl; sw_t_office/udp2_a18_02.mdl; sw_t_office/udp2_a18_03.mdl; sw_t_office/udp2_a18_04.mdl; sw_t_office/udp2_a18_05.mdl; sw_t_office/udp2_a18_06.mdl; sw_t_office/udp2_a18_06.mdl; sw_t_office/udp2_a18_07.mdl
sw_plc/back.tga,Potential consumers span multiple categories; preserve current shared-resource location,sw_cr_creature; sw_plc_cep; sw_plc_mdrn; sw_pt_pelvis; sw_t_office,sw_cr_creature/zcp_scrag.mdl; sw_cr_creature/zcp_scrag1.mdl; sw_cr_creature/zcp_scrag3.mdl; sw_plc_cep/zlc_wall_black_f.mdl; sw_plc_cep/zlc_wall_black_h.mdl; sw_plc_cep/zlc_wall_ice_l.mdl; sw_plc_cep/zlc_wall_ice_m.mdl; sw_plc_cep/zlc_wall_ice_s.mdl
sw_plc/balcon.dds,Potential consumers span multiple categories; preserve current shared-resource location,sw_t_futcity; sw_t_starship,sw_t_futcity/fcx01_w01_01.mdl; sw_t_futcity/fcx01_w01_02.mdl; sw_t_starship/fci01_o06_02.mdl; sw_t_starship/jab01_a01_13.mdl; sw_t_starship/jab01_a01_18.mdl
sw_plc/barrier02.dds,Potential consumers span multiple categories; preserve current shared-resource location,sw_t_modernex; sw_t_shadowrun,sw_t_modernex/dgt04_d17_01.mdl; sw_t_modernex/dgt04_d17_01.mdl; sw_t_modernex/dgt04_d17_01.mdl; sw_t_modernex/dgt04_d17_02.mdl; sw_t_modernex/dgt04_d17_02.mdl; sw_t_modernex/dgt04_d17_02.mdl; sw_t_modernex/dgt04_d17_03.mdl; sw_t_modernex/dgt04_d17_03.mdl
sw_plc/basilisk.tga,Potential consumers span multiple categories; preserve current shared-resource location,sw_cr_creature; sw_cr_vehicle,sw_cr_creature/c_basilisk_war.mdl; sw_cr_vehicle/c_basil.mtr
sw_plc/bb1bottom.dds,Potential consumers span multiple categories; preserve current shared-resource location,sw_t_futcity; sw_t_starship,sw_t_futcity/fcx01_a01_01.mdl; sw_t_futcity/fcx01_a01_01.mdl; sw_t_futcity/fcx01_a01_01.mdl; sw_t_futcity/fcx01_a01_01.mdl; sw_t_futcity/fcx01_a01_02.mdl; sw_t_futcity/fcx01_a01_02.mdl; sw_t_futcity/fcx01_a01_02.mdl; sw_t_futcity/fcx01_a01_02.mdl
sw_plc/bb3_top.dds,Potential consumers span multiple categories; preserve current shared-resource location,sw_t_futcity; sw_t_starship,sw_t_futcity/fcx01_f01_01.mdl; sw_t_futcity/fcx01_f01_02.mdl; sw_t_futcity/fcx01_f01_03.mdl; sw_t_futcity/fcx01_f01_04.mdl; sw_t_futcity/fcx01_f01_05.mdl; sw_t_futcity/fcx01_f01_06.mdl; sw_t_futcity/fcx01_f01_07.mdl; sw_t_futcity/fcx01_f01_08.mdl
sw_plc/bb4top2.dds,Potential consumers span multiple categories; preserve current shared-resource location,sw_skybox; sw_t_futcity; sw_t_starship,sw_skybox/narsky_001.mdl; sw_skybox/narsky_001.mdl; sw_skybox/narsky_001.mdl; sw_t_futcity/fcx01_a01_01.mdl; sw_t_futcity/fcx01_a01_02.mdl; sw_t_futcity/fcx01_a01_03.mdl; sw_t_futcity/fcx01_a01_04.mdl; sw_t_futcity/fcx01_b01_01.mdl
sw_plc/blackplastic.dds,Potential consumers span multiple categories; preserve current shared-resource location,sw_plc_mdrn; sw_weapon,sw_plc_mdrn/vos_multimelta.mdl; sw_weapon/wbwsh_m_016.mdl; sw_weapon/wbwxh_m_042.mdl; sw_weapon/wbwxl_m_018.mdl; sw_weapon/wbwxl_m_018.mdl
sw_plc/blackred.dds,Potential consumers span multiple categories; preserve current shared-resource location,sw_cr_vehicle; sw_plc_mdrn,sw_cr_vehicle/tiefightersm.mdl; sw_cr_vehicle/tiefightersm.mdl; sw_cr_vehicle/tiefightersm.mdl; sw_plc_mdrn/tiefighterplc.mdl; sw_plc_mdrn/tiefighterplc.mdl; sw_plc_mdrn/tiefighterplc.mdl
sw_plc/bladegun.dds,Potential consumers span multiple categories; preserve current shared-resource location,sw_plc_mdrn; sw_weapon,sw_plc_mdrn/vos_scifigun5.mdl; sw_plc_mdrn/vos_scifigun5.mdl; sw_weapon/wbwln_m_041.mdl; sw_weapon/wbwln_m_041.mdl; sw_weapon/wbwln_m_051.mdl; sw_weapon/wbwln_m_052.mdl; sw_weapon/wbwsh_t_152.mdl; sw_weapon/wbwsh_t_152.mdl
sw_plc/bmetal1.dds,Potential consumers span multiple categories; preserve current shared-resource location,sw_plc_mdrn; sw_weapon,sw_plc_mdrn/vos_40ksniper.mdl; sw_plc_mdrn/vos_multimelta.mdl; sw_weapon/wbwsh_m_017.mdl; sw_weapon/wbwxh_m_042.mdl; sw_weapon/wbwxh_m_082.mdl; sw_weapon/wbwxh_m_083.mdl; sw_weapon/wbwxh_m_084.mdl; sw_weapon/wbwxl_m_015.mdl
sw_plc/body_r2d2.dds,Potential consumers span multiple categories; preserve current shared-resource location,sw_cr_creature; sw_plc_cep,sw_cr_creature/c_r4v5_b.mdl; sw_cr_creature/c_r4v5_b.mdl; sw_plc_cep/jzc_drdr401.mdl; sw_plc_cep/jzc_drdr401.mdl; sw_plc_cep/jzc_drdr402.mdl; sw_plc_cep/jzc_drdr402.mdl
sw_plc/bodytuba.dds,Potential consumers span multiple categories; preserve current shared-resource location,sw_cr_vehicle; sw_plc_mdrn,sw_cr_vehicle/corvette.mdl; sw_cr_vehicle/corvette.mdl; sw_cr_vehicle/corvette.mdl; sw_cr_vehicle/corvette.mdl; sw_cr_vehicle/corvette.mdl; sw_cr_vehicle/corvette.mdl; sw_cr_vehicle/corvettesm.mdl; sw_cr_vehicle/corvettesm.mdl
sw_plc/bodytube.dds,Potential consumers span multiple categories; preserve current shared-resource location,sw_cr_vehicle; sw_plc_mdrn,sw_cr_vehicle/corvette.mdl; sw_cr_vehicle/corvette.mdl; sw_cr_vehicle/corvette.mdl; sw_cr_vehicle/corvette.mdl; sw_cr_vehicle/corvette.mdl; sw_cr_vehicle/corvette.mdl; sw_cr_vehicle/corvette.mdl; sw_cr_vehicle/corvette.mdl
sw_plc/bowcaster.tga,Potential consumers span multiple categories; preserve current shared-resource location,sw_plc_mdrn; sw_weapon,sw_plc_mdrn/vos_scifi_rfl2.mdl; sw_weapon/wbwxh_m_033.mdl; sw_weapon/wbwxh_m_034.mdl
sw_plc/brdirtyr.dds,Potential consumers span multiple categories; preserve current shared-resource location,sw_cr_vehicle; sw_plc_mdrn,sw_cr_vehicle/corvette.mdl; sw_cr_vehicle/corvette.mdl; sw_cr_vehicle/corvette.mdl; sw_cr_vehicle/corvette.mdl; sw_cr_vehicle/corvettesm.mdl; sw_cr_vehicle/corvettesm.mdl; sw_cr_vehicle/corvettesm.mdl; sw_cr_vehicle/corvettesm.mdl
sw_plc/brhead_t.dds,Potential consumers span multiple categories; preserve current shared-resource location,sw_cr_vehicle; sw_plc_mdrn,sw_cr_vehicle/corvette.mdl; sw_cr_vehicle/corvette.mdl; sw_cr_vehicle/corvette.mdl; sw_cr_vehicle/corvette.mdl; sw_cr_vehicle/corvettesm.mdl; sw_cr_vehicle/corvettesm.mdl; sw_cr_vehicle/corvettesm.mdl; sw_plc_mdrn/plc_corvette.mdl
sw_plc/build_01.dds,Potential consumers span multiple categories; preserve current shared-resource location,sw_t_futcity; sw_t_modernex,sw_t_futcity/fcx01_p01_01.mdl; sw_t_modernex/dgt04_e07_01.mdl
sw_plc/building_roof.dds,Potential consumers span multiple categories; preserve current shared-resource location,sw_t_modernex; sw_t_wildland,sw_t_modernex/rdt01_e22_01.mdl; sw_t_modernex/rdt01_e22_02.mdl; sw_t_modernex/rdt01_e22_03.mdl; sw_t_modernex/rdt01_e24_01.mdl; sw_t_modernex/rdt01_e25_01.mdl; sw_t_modernex/rdt01_e26_01.mdl; sw_t_modernex/rdt01_e26_02.mdl; sw_t_modernex/rdt01_e26_02.mdl
sw_plc/bwcpit.dds,Potential consumers span multiple categories; preserve current shared-resource location,sw_cr_creature; sw_plc_mdrn,sw_cr_creature/bwing.mdl; sw_cr_creature/bwing.mdl; sw_cr_creature/bwingsm.mdl; sw_cr_creature/bwingsm.mdl; sw_plc_mdrn/plc_bwing.mdl; sw_plc_mdrn/plc_bwing.mdl
